UserID,.net,ajax,android,arrays,asp.net,asp.net-mvc,c,c#,c++,css,django,html,ios,iphone,java,javascript,jquery,json,linux,mysql,objective-c,php,python,regex,ruby,ruby-on-rails,sql,sql-server,wpf,xml
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000343,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0
100297,0,0,0,26,0,0,0,0,0,0,99,62,0,0,0,29,0,182,0,26,0,0,4478,172,0,0,32,0,0,27
100342,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,16,5,0,0,0,0,0,0,0,1,7,0,0,0,0
1003492,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1003575,0,0,19,2,0,0,47,0,14,0,0,0,0,0,17,0,0,0,38,0,0,0,0,4,0,0,0,0,0,2
100894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101361,0,0,1390,0,0,0,6,0,10,0,0,0,7,0,459,0,0,19,0,12,4,4,6,8,0,0,69,0,0,52
1014639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016092,0,0,12,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1016183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016409,0,5,0,0,0,0,0,0,0,3,0,2,0,0,0,0,18,0,0,7,0,20,0,1,0,0,1,0,0,3
1018611,0,0,5,8,0,0,0,1,0,0,0,1,1,0,75,0,0,0,1,0,1,0,0,12,0,0,1,1,0,1
1021703,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1
103167,36,0,0,32,0,0,74,170,448,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0
10320,0,0,0,6,0,0,28,0,9,0,0,0,4,0,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0
1033686,17,0,0,2,2,1,0,38,2,5,0,9,0,0,1,25,6,0,0,0,0,0,0,2,0,0,2,2,0,0
103532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037338,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10397,0,0,0,0,2,0,0,8,0,0,0,0,0,0,16,0,0,0,0,7,0,3,0,2,0,0,243,8,0,0
1039726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039843,0,17,0,48,0,0,0,2,2,6,0,55,0,0,0,21,20,37,0,743,0,682,0,9,0,0,289,11,0,3
104015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104349,0,37,0,0,0,0,0,0,0,6,1171,43,0,0,8,37,39,40,8,40,0,0,1169,11,0,0,28,0,0,0
10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104790,0,0,0,1,0,0,0,0,1,0,0,0,98,24,0,0,0,1,0,0,90,0,0,0,0,0,0,0,0,0
1048425,3,0,0,1,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,66,0,12,0,2,0,0,346,207,0,7
1048572,0,61,0,113,0,0,0,0,0,10,0,38,0,0,0,1447,235,42,0,0,0,22,0,57,0,0,0,0,0,6
1050482,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1053611,2,0,0,0,3,4,0,11,0,1,0,1,0,0,0,3,0,1,0,0,0,1,0,1,0,0,1,1,0,0
1059101,0,103,3,16,18,15,0,5,0,114,0,249,0,0,7,496,836,40,0,10,0,73,0,0,0,6,3,0,0,3
105929,18,0,0,0,15,3,3,92,15,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,107,123,0,3
106104,0,0,12,14,0,0,37,1,34,0,0,0,0,0,138,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
106224,3,0,0,0,0,0,0,8,0,306,0,174,0,0,0,39,28,0,0,0,0,2,0,2,0,0,0,0,0,2
1064226,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,4,1,2,0,3,0,1,0,1,126,157,2,0,0,2
1064245,0,0,12,40,0,0,0,0,2,0,0,0,0,0,401,0,0,0,3,9,0,0,0,46,0,0,6,0,0,22
1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069068,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1073631,1,0,0,0,3,2,0,8,0,0,0,0,0,0,2,0,0,2,0,179,0,30,0,0,0,2,320,79,0,1
107625,21,1,0,0,7,1,0,23,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081897,111,0,0,21,69,34,0,753,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,309,125,10,11
1084,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1084437,0,0,7,0,7,0,0,7,0,460,0,700,5,0,6,145,42,0,0,0,0,30,0,5,0,0,0,0,0,10
1086540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101095,0,4,0,3,0,0,0,0,0,9,0,9,0,0,0,23,24,0,6,26,0,62,0,11,0,0,15,0,0,0
1103872,0,0,8,17,0,0,0,0,0,0,0,0,0,0,517,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0
1106035,0,0,1,0,1,0,0,1,0,1,0,2,95,42,0,0,0,2,0,1,57,3,0,0,0,0,0,0,0,1
1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0
111435,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
111479,0,2,0,1,0,0,0,0,0,4,0,2,0,0,0,9,18,0,0,0,0,1,0,4,0,0,11,0,0,0
